A group of more experienced adventurers shows up and asks to share the campsite
Inclement weather which doesn't ruin the rest
Inclement weather ruins the rest
A sound draws the attention of the person on watch
DC5 con save to stay awake
DC6 con save to stay awake
DC7 con save to stay awake
DC8 con save to stay awake
DC9 con save to stay awake
DC10 con save to stay awake
DC11 con save to stay awake
DC12 con save to stay awake
DC13 con save to stay awake
DC14 con save to stay awake
DC15 con save to stay awake
DC16 con save to stay awake
DC17 con save to stay awake
DC18 con save to stay awake
DC19 con save to stay awake
DC20 con save to stay awake
